language,benchmark,run_id,time
enso,10ms,0,11.266
enso,10ms,1,10.405
enso,10ms,2,10.365
enso,10ms,3,10.331
enso,10ms,4,10.338
enso,10ms,5,10.314
enso,10ms,6,10.305
enso,10ms,7,10.300
enso,10ms,8,10.270
enso,10ms,9,10.281
enso,10ms,10,10.239
enso,10ms,11,10.248
enso,10ms,12,10.242
enso,10ms,13,10.238
enso,10ms,14,10.230
enso,10ms,15,10.235
enso,10ms,16,10.232
enso,10ms,17,10.238
enso,10ms,18,10.282
enso,10ms,19,10.247
enso,10ms,20,10.138
enso,10ms,21,10.104
enso,10ms,22,10.104
enso,10ms,23,10.108
enso,10ms,24,10.103
enso,10ms,25,10.107
enso,10ms,26,10.109
enso,10ms,27,10.109
enso,10ms,28,10.110
enso,10ms,29,10.105
enso,10ms,30,10.110
enso,10ms,31,10.109
enso,10ms,32,10.111
enso,10ms,33,10.108
enso,10ms,34,10.107
enso,10ms,35,10.112
enso,10ms,36,10.106
enso,10ms,37,10.109
enso,10ms,38,10.110
enso,10ms,39,10.108
enso,10ms,40,10.106
enso,10ms,41,10.107
enso,10ms,42,10.110
enso,10ms,43,10.109
enso,10ms,44,10.113
enso,10ms,45,10.111
enso,10ms,46,10.108
enso,10ms,47,10.111
enso,10ms,48,10.110
enso,10ms,49,10.112
enso,sum,0,34.850
enso,sum,1,10.471
enso,sum,2,10.415
enso,sum,3,10.485
enso,sum,4,10.499
enso,sum,5,10.358
enso,sum,6,10.442
enso,sum,7,10.376
enso,sum,8,10.470
enso,sum,9,10.408
enso,sum,10,10.392
enso,sum,11,10.436
enso,sum,12,10.374
enso,sum,13,10.423
enso,sum,14,10.422
enso,sum,15,10.457
enso,sum,16,10.446
enso,sum,17,10.358
enso,sum,18,10.427
enso,sum,19,10.582
enso,sum,20,10.618
enso,sum,21,10.427
enso,sum,22,10.360
enso,sum,23,10.421
enso,sum,24,10.365
enso,sum,25,10.440
enso,sum,26,10.376
enso,sum,27,10.371
enso,sum,28,10.394
enso,sum,29,10.332
enso,sum,30,10.389
enso,sum,31,10.350
enso,sum,32,10.369
enso,sum,33,10.368
enso,sum,34,10.405
enso,sum,35,10.437
enso,sum,36,10.352
enso,sum,37,10.383
enso,sum,38,10.375
enso,sum,39,10.415
enso,sum,40,10.408
enso,sum,41,10.365
enso,sum,42,10.445
enso,sum,43,10.379
enso,sum,44,10.467
enso,sum,45,10.371
enso,sum,46,10.404
enso,sum,47,10.421
enso,sum,48,10.336
enso,sum,49,10.391
enso,alloc_vector,0,95.792
enso,alloc_vector,1,74.709
enso,alloc_vector,2,73.474
enso,alloc_vector,3,77.638
enso,alloc_vector,4,73.729
enso,alloc_vector,5,77.294
enso,alloc_vector,6,77.727
enso,alloc_vector,7,80.307
enso,alloc_vector,8,77.412
enso,alloc_vector,9,74.347
enso,alloc_vector,10,74.289
enso,alloc_vector,11,74.407
enso,alloc_vector,12,74.337
enso,alloc_vector,13,74.757
enso,alloc_vector,14,77.874
enso,alloc_vector,15,75.278
enso,alloc_vector,16,74.403
enso,alloc_vector,17,73.707
enso,alloc_vector,18,73.991
enso,alloc_vector,19,77.976
enso,alloc_vector,20,75.688
enso,alloc_vector,21,75.131
enso,alloc_vector,22,68.841
enso,alloc_vector,23,73.314
enso,alloc_vector,24,75.645
enso,alloc_vector,25,75.068
enso,alloc_vector,26,75.133
enso,alloc_vector,27,70.016
