language,benchmark,run_id,time
enso,10ms,0,10.896
enso,10ms,1,10.188
enso,10ms,2,10.146
enso,10ms,3,10.134
enso,10ms,4,10.142
enso,10ms,5,10.128
enso,10ms,6,10.119
enso,10ms,7,10.111
enso,10ms,8,10.101
enso,10ms,9,10.113
enso,10ms,10,10.097
enso,10ms,11,10.100
enso,10ms,12,10.088
enso,10ms,13,10.088
enso,10ms,14,10.094
enso,10ms,15,10.087
enso,10ms,16,10.094
enso,10ms,17,10.095
enso,10ms,18,10.131
enso,10ms,19,10.113
enso,10ms,20,10.087
enso,10ms,21,10.066
enso,10ms,22,10.064
enso,10ms,23,10.064
enso,10ms,24,10.063
enso,10ms,25,10.063
enso,10ms,26,10.064
enso,10ms,27,10.063
enso,10ms,28,10.063
enso,10ms,29,10.063
enso,10ms,30,10.064
enso,10ms,31,10.063
enso,10ms,32,10.063
enso,10ms,33,10.062
enso,10ms,34,10.063
enso,10ms,35,10.063
enso,10ms,36,10.063
enso,10ms,37,10.063
enso,10ms,38,10.066
enso,10ms,39,10.064
enso,10ms,40,10.063
enso,10ms,41,10.062
enso,10ms,42,10.063
enso,10ms,43,10.064
enso,10ms,44,10.064
enso,10ms,45,10.063
enso,10ms,46,10.062
enso,10ms,47,10.064
enso,10ms,48,10.062
enso,10ms,49,10.064
enso,sum,0,42.827
enso,sum,1,12.105
enso,sum,2,11.401
enso,sum,3,11.616
enso,sum,4,11.401
enso,sum,5,11.352
enso,sum,6,11.350
enso,sum,7,11.336
enso,sum,8,11.356
enso,sum,9,11.350
enso,sum,10,11.347
enso,sum,11,11.373
enso,sum,12,11.377
enso,sum,13,11.345
enso,sum,14,11.334
enso,sum,15,11.332
enso,sum,16,11.337
enso,sum,17,11.338
enso,sum,18,11.365
enso,sum,19,11.442
enso,sum,20,11.578
enso,sum,21,11.335
enso,sum,22,11.342
enso,sum,23,11.358
enso,sum,24,11.344
enso,sum,25,11.336
enso,sum,26,11.337
enso,sum,27,11.325
enso,sum,28,11.334
enso,sum,29,11.326
