language,benchmark,run_id,time
js, 10ms, 0, 10.064
js, 10ms, 1, 10.062
js, 10ms, 2, 10.062
js, 10ms, 3, 10.062
js, 10ms, 4, 10.062
js, 10ms, 5, 10.062
js, 10ms, 6, 10.062
js, 10ms, 7, 10.061
js, 10ms, 8, 10.062
js, 10ms, 9, 10.062
js, 10ms, 10, 10.061
js, 10ms, 11, 10.062
js, 10ms, 12, 10.062
js, 10ms, 13, 10.061
js, 10ms, 14, 10.061
js, 10ms, 15, 10.062
js, 10ms, 16, 10.061
js, 10ms, 17, 10.062
js, 10ms, 18, 10.061
js, 10ms, 19, 10.061
js, 10ms, 20, 10.062
js, 10ms, 21, 10.062
js, 10ms, 22, 10.061
js, 10ms, 23, 10.061
js, 10ms, 24, 10.062
js, 10ms, 25, 10.062
js, 10ms, 26, 10.062
js, 10ms, 27, 10.062
js, 10ms, 28, 10.061
js, 10ms, 29, 10.061
js, 10ms, 30, 10.061
js, 10ms, 31, 10.062
js, 10ms, 32, 10.062
js, 10ms, 33, 10.062
js, 10ms, 34, 10.062
js, 10ms, 35, 10.062
js, 10ms, 36, 10.061
js, 10ms, 37, 10.061
js, 10ms, 38, 10.061
js, 10ms, 39, 10.061
js, 10ms, 40, 10.062
js, 10ms, 41, 10.062
js, 10ms, 42, 10.062
js, 10ms, 43, 10.062
js, 10ms, 44, 10.061
js, 10ms, 45, 10.061
js, 10ms, 46, 10.061
js, 10ms, 47, 10.062
js, 10ms, 48, 10.062
js, 10ms, 49, 10.063
js, sum, 0, 13.007
js, sum, 1, 12.939
js, sum, 2, 12.941
js, sum, 3, 12.938
js, sum, 4, 12.940
js, sum, 5, 12.941
js, sum, 6, 12.938
js, sum, 7, 12.940
js, sum, 8, 12.941
js, sum, 9, 12.938
js, sum, 10, 12.940
js, sum, 11, 12.940
js, sum, 12, 12.939
js, sum, 13, 12.942
js, sum, 14, 12.940
js, sum, 15, 12.940
js, sum, 16, 12.940
js, sum, 17, 12.939
js, sum, 18, 12.939
js, sum, 19, 12.940
js, sum, 20, 12.938
js, sum, 21, 12.941
js, sum, 22, 12.939
js, sum, 23, 12.939
js, sum, 24, 12.940
js, sum, 25, 12.939
js, sum, 26, 12.938
js, sum, 27, 12.940
js, sum, 28, 12.939
js, sum, 29, 12.937
js, sum, 30, 12.940
js, sum, 31, 12.938
js, sum, 32, 12.939
js, sum, 33, 12.941
js, sum, 34, 12.939
js, sum, 35, 12.940
js, sum, 36, 12.941
js, sum, 37, 12.939
js, sum, 38, 12.939
js, sum, 39, 12.942
js, sum, 40, 12.938
js, sum, 41, 12.940
js, sum, 42, 12.943
js, sum, 43, 12.943
js, sum, 44, 12.943
js, sum, 45, 12.944
js, sum, 46, 12.940
js, sum, 47, 12.940
js, sum, 48, 12.939
js, sum, 49, 12.937
js, alloc_vector, 0, 137.385
js, alloc_vector, 1, 139.267
js, alloc_vector, 2, 140.347
js, alloc_vector, 3, 140.197
js, alloc_vector, 4, 138.937
js, alloc_vector, 5, 138.973
js, alloc_vector, 6, 141.235
js, alloc_vector, 7, 139.260
js, alloc_vector, 8, 139.065
js, alloc_vector, 9, 140.520
js, alloc_vector, 10, 139.486
js, alloc_vector, 11, 139.340
js, alloc_vector, 12, 138.319
js, alloc_vector, 13, 138.060
js, alloc_vector, 14, 138.096
js, alloc_vector, 15, 139.685
js, alloc_vector, 16, 140.531
js, alloc_vector, 17, 139.122
js, alloc_vector, 18, 139.709
js, alloc_vector, 19, 140.164
js, alloc_vector, 20, 138.456
js, alloc_vector, 21, 139.566
js, alloc_vector, 22, 138.500
js, alloc_vector, 23, 138.665
js, alloc_vector, 24, 138.867
js, alloc_vector, 25, 142.664
js, alloc_vector, 26, 139.941
js, alloc_vector, 27, 138.220
js, alloc_vector, 28, 139.344
js, alloc_vector, 29, 139.260
js, alloc_vector, 30, 138.850
js, alloc_vector, 31, 139.799
js, alloc_vector, 32, 140.607
js, alloc_vector, 33, 139.378
js, alloc_vector, 34, 140.206
js, alloc_vector, 35, 138.348
js, alloc_vector, 36, 139.182
js, alloc_vector, 37, 138.532
js, alloc_vector, 38, 138.117
js, alloc_vector, 39, 139.798
js, alloc_vector, 40, 137.663
js, alloc_vector, 41, 138.066
js, alloc_vector, 42, 140.596
js, alloc_vector, 43, 137.940
js, alloc_vector, 44, 139.784
js, alloc_vector, 45, 138.877
js, alloc_vector, 46, 138.594
js, alloc_vector, 47, 139.108
js, alloc_vector, 48, 138.749
js, alloc_vector, 49, 138.268
js, sum_vector, 0, 3.684
js, sum_vector, 1, 3.504
js, sum_vector, 2, 3.494
js, sum_vector, 3, 3.546
js, sum_vector, 4, 3.525
js, sum_vector, 5, 3.533
js, sum_vector, 6, 3.614
js, sum_vector, 7, 3.527
js, sum_vector, 8, 3.618
js, sum_vector, 9, 3.550
js, sum_vector, 10, 3.607
js, sum_vector, 11, 3.489
js, sum_vector, 12, 3.545
js, sum_vector, 13, 3.584
js, sum_vector, 14, 3.589
js, sum_vector, 15, 3.552
js, sum_vector, 16, 3.551
js, sum_vector, 17, 3.492
js, sum_vector, 18, 3.681
js, sum_vector, 19, 3.593
js, sum_vector, 20, 3.551
js, sum_vector, 21, 3.644
js, sum_vector, 22, 3.588
js, sum_vector, 23, 3.574
js, sum_vector, 24, 3.628
js, sum_vector, 25, 3.731
js, sum_vector, 26, 3.789
js, sum_vector, 27, 3.901
js, sum_vector, 28, 3.842
js, sum_vector, 29, 3.882
js, sum_vector, 30, 3.871
js, sum_vector, 31, 3.745
js, sum_vector, 32, 3.843
js, sum_vector, 33, 3.769
js, sum_vector, 34, 3.820
js, sum_vector, 35, 3.779
js, sum_vector, 36, 3.712
js, sum_vector, 37, 3.717
js, sum_vector, 38, 3.715
js, sum_vector, 39, 3.790
js, sum_vector, 40, 3.734
js, sum_vector, 41, 3.772
js, sum_vector, 42, 3.599
js, sum_vector, 43, 3.738
js, sum_vector, 44, 3.608
js, sum_vector, 45, 3.629
js, sum_vector, 46, 3.598
js, sum_vector, 47, 3.653
js, sum_vector, 48, 3.626
js, sum_vector, 49, 3.588
js, alloc_list, 0, 209.098
js, alloc_list, 1, 209.342
js, alloc_list, 2, 209.174
js, alloc_list, 3, 209.070
js, alloc_list, 4, 209.272
js, alloc_list, 5, 209.470
js, alloc_list, 6, 208.708
js, alloc_list, 7, 208.937
js, alloc_list, 8, 208.234
js, alloc_list, 9, 208.555
js, alloc_list, 10, 208.565
js, alloc_list, 11, 209.162
js, alloc_list, 12, 208.476
js, alloc_list, 13, 208.986
js, alloc_list, 14, 208.557
js, alloc_list, 15, 208.413
js, alloc_list, 16, 209.536
js, alloc_list, 17, 209.446
js, alloc_list, 18, 208.922
js, alloc_list, 19, 209.056
js, alloc_list, 20, 208.852
js, alloc_list, 21, 208.579
js, alloc_list, 22, 209.404
js, alloc_list, 23, 208.507
js, alloc_list, 24, 208.825
js, alloc_list, 25, 208.805
js, alloc_list, 26, 208.351
js, alloc_list, 27, 209.143
js, alloc_list, 28, 209.670
js, alloc_list, 29, 208.453
js, alloc_list, 30, 208.908
js, alloc_list, 31, 208.656
js, alloc_list, 32, 208.620
js, alloc_list, 33, 209.132
js, alloc_list, 34, 209.372
js, alloc_list, 35, 208.816
js, alloc_list, 36, 209.338
js, alloc_list, 37, 208.388
js, alloc_list, 38, 208.257
js, alloc_list, 39, 209.386
js, alloc_list, 40, 208.961
js, alloc_list, 41, 208.746
js, alloc_list, 42, 208.831
js, alloc_list, 43, 208.772
js, alloc_list, 44, 208.674
js, alloc_list, 45, 210.293
js, alloc_list, 46, 209.703
js, alloc_list, 47, 209.229
js, alloc_list, 48, 208.775
js, alloc_list, 49, 208.910
js, sum_list, 0, 9.098
js, sum_list, 1, 8.980
js, sum_list, 2, 9.030
js, sum_list, 3, 8.975
js, sum_list, 4, 9.023
js, sum_list, 5, 8.972
js, sum_list, 6, 9.018
js, sum_list, 7, 9.031
js, sum_list, 8, 9.067
